Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","645","Disponibilité alimentaire en quantité (kg/personne/an)","2516","Avoine","2011","2011","kg","0.59","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","664","Disponibilité alimentaire (Kcal/personne/jour)","2516","Avoine","2011","2011","Kcal/personne/jour","3","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","674","Disponibilité de protéines en quantité (g/personne/jour)","2516","Avoine","2011","2011","g/personne/jour","0.13","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2516","Avoine","2011","2011","g/personne/jour","0.06","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5511","Production","2517","Millet et produits","2011","2011","Milliers de tonnes","27145","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5611","Importations - Quantité","2517","Millet et produits","2011","2011","Milliers de tonnes","337","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5072","Variation de stock","2517","Millet et produits","2011","2011","Milliers de tonnes","2802","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5911","Exportations - Quantité","2517","Millet et produits","2011","2011","Milliers de tonnes","384","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5301","Disponibilité intérieure","2517","Millet et produits","2011","2011","Milliers de tonnes","29900","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5521","Aliments pour animaux","2517","Millet et produits","2011","2011","Milliers de tonnes","3416","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5527","Semences","2517","Millet et produits","2011","2011","Milliers de tonnes","703","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5123","Pertes","2517","Millet et produits","2011","2011","Milliers de tonnes","2120","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5131","Traitement","2517","Millet et produits","2011","2011","Milliers de tonnes","421","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5154","Autres utilisations (non alimentaire)","2517","Millet et produits","2011","2011","Milliers de tonnes","286","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5142","Nourriture","2517","Millet et produits","2011","2011","Milliers de tonnes","22954","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","645","Disponibilité alimentaire en quantité (kg/personne/an)","2517","Millet et produits","2011","2011","kg","3.35","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","664","Disponibilité alimentaire (Kcal/personne/jour)","2517","Millet et produits","2011","2011","Kcal/personne/jour","27","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","674","Disponibilité de protéines en quantité (g/personne/jour)","2517","Millet et produits","2011","2011","g/personne/jour","0.73","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2517","Millet et produits","2011","2011","g/personne/jour","0.28","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5511","Production","2518","Sorgho et produits","2011","2011","Milliers de tonnes","57959","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5611","Importations - Quantité","2518","Sorgho et produits","2011","2011","Milliers de tonnes","6736","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5072","Variation de stock","2518","Sorgho et produits","2011","2011","Milliers de tonnes","2698","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5911","Exportations - Quantité","2518","Sorgho et produits","2011","2011","Milliers de tonnes","6324","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5301","Disponibilité intérieure","2518","Sorgho et produits","2011","2011","Milliers de tonnes","61068","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5521","Aliments pour animaux","2518","Sorgho et produits","2011","2011","Milliers de tonnes","25579","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5527","Semences","2518","Sorgho et produits","2011","2011","Milliers de tonnes","789","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5123","Pertes","2518","Sorgho et produits","2011","2011","Milliers de tonnes","3282","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5131","Traitement","2518","Sorgho et produits","2011","2011","Milliers de tonnes","4158","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5154","Autres utilisations (non alimentaire)","2518","Sorgho et produits","2011","2011","Milliers de tonnes","2032","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5142","Nourriture","2518","Sorgho et produits","2011","2011","Milliers de tonnes","25229","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","645","Disponibilité alimentaire en quantité (kg/personne/an)","2518","Sorgho et produits","2011","2011","kg","3.68","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","664","Disponibilité alimentaire (Kcal/personne/jour)","2518","Sorgho et produits","2011","2011","Kcal/personne/jour","31","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","674","Disponibilité de protéines en quantité (g/personne/jour)","2518","Sorgho et produits","2011","2011","g/personne/jour","0.91","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2518","Sorgho et produits","2011","2011","g/personne/jour","0.31","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5511","Production","2520","Céréales, Autres","2011","2011","Milliers de tonnes","25677","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5611","Importations - Quantité","2520","Céréales, Autres","2011","2011","Milliers de tonnes","3323","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
